date,cu_usd_per_tonne,al_usd_per_tonne,eur_usd_rate,cu_eur_per_tonne,al_eur_per_tonne
2024-08-28,9135.5,2479.5,1.1117,8217.594674822345,2230.3679050103447
2024-08-29,9116.0,2437.5,1.1088,8221.50072150072,2198.3225108225106
2024-08-30,9215.0,2463.5,1.1087,8311.536033192027,2221.971678542437
2024-09-02,9034.0,2390.5,1.1061,8167.435132447337,2161.196998463068
2024-09-03,8856.0,2382.0,1.1035,8025.3738106026285,2158.586316266425
2024-09-04,8830.5,2367.5,1.105,7991.402714932126,2142.5339366515836
2024-09-05,8915.0,2366.0,1.1097,8033.702802559251,2132.1077768766336
2024-09-06,9013.0,2368.0,1.1103,8117.625866882824,2132.7569125461587
2024-09-09,8989.5,2318.0,1.1043,8140.450964411844,2099.0672824413655
2024-09-10,8935.0,2323.0,1.1031,8099.900281026199,2105.883419454265
2024-09-11,9007.5,2354.5,1.1043,8156.750882912252,2132.1198949560808
2024-09-12,9115.5,2390.5,1.1016,8274.782135076253,2170.025417574437
2024-09-13,9080.5,2405.0,1.1081,8194.657521884306,2170.3817345004963
2024-09-16,9216.0,2505.0,1.1126,8283.300377494157,2251.4830127628975
2024-09-17,9242.0,2505.5,1.1139,8296.974593769639,2249.3042463416828
2024-09-18,9289.0,2520.0,1.1124,8350.413520316433,2265.3721682847895
2024-09-19,9405.5,2523.0,1.1156,8430.88920760129,2261.5632843313015
2024-09-20,9395.0,2477.0,1.1166,8413.935160308078,2218.3413935160306
2024-09-23,9329.0,2455.0,1.1119,8390.142998471085,2207.9323680187067
2024-09-24,9602.0,2542.0,1.1133,8624.809126021737,2283.3018952663256
2024-09-25,9618.5,2512.0,1.1194,8592.549580132214,2244.0593174915134
2024-09-26,9844.0,2560.0,1.1155,8824.742268041238,2294.9350067234427
2024-09-27,9860.0,2609.5,1.1158,8836.709087650117,2338.6807671625743
2024-09-30,9767.0,2611.0,1.1196,8723.651304037157,2332.0828867452665
2024-10-01,9741.0,2635.0,1.1086,8786.758073245535,2376.8717301100487
2024-10-02,9882.5,2635.0,1.1071,8926.474573209285,2380.0921325986815
2024-10-03,9786.0,2638.0,1.1039,8864.933417882054,2389.7092127910137
2024-10-04,9784.0,2654.0,1.1029,8871.157856559978,2406.383171638408
2024-10-07,9816.5,2655.5,1.0982,8938.71790202149,2418.0477144418137
2024-10-08,9619.0,2569.0,1.0982,8758.878164268803,2339.2824622108906
